,Company,Tweet_Count,Text,Created_At,Retweets,Likes,URL,Cleaned_Text
28,ADBE,29,"This my FB memory from 1 yr ago on my 2020 picks.   Jan2, 2020  vs    Jan 2, 2021  TTD     $267        $801 ( recently $950) PAYC $268          $452 SQ      $63.5         $217 TQQQ $89            $182 INMD.  $38           $47.5 ADBE.  $333.        $500 NOW    $288         $550",Sun Jan 02 20:52:13 +0000 2022,0,52,https://twitter.com/MoneyAndPoliti2/status/1477744562328285191,this my fb memory from 1 yr ago on my 2020 picks
29,ADBE,30,Adobe Systems (ADBE) Earnings Expected to Grow: What to Know Ahead of Next Week's Release https://t.co/MbWMsHq2e0 via @entrepreneur #hvacprofits #hvacbusinessowners #hvacbusinesstechnology,Sun Jan 02 19:42:04 +0000 2022,0,0,https://twitter.com/MyHVACTools/status/1477726908225835010,adobe systems adbe earnings expected to grow what to know ahead of next weeks release via
30,ADBE,31,.@SearchInfra2 I enjoy food with lots of flavor : 897f233d-2c70-4223-adbe-4aba7f33a5f8,Sun Jan 02 16:02:54 +0000 2022,0,0,https://twitter.com/test5f1798/status/1477671752947822597,i enjoy food with lots of flavor 897f233d2c704223adbe4aba7f33a5f8
32,ADBE,33,$ADBE Blasting off at this key level | LONG Entry Alerted: $570.04 and then the Exit on alert at: $576.57 💰| Join today https://t.co/IJGvudrZJS!! #StockToWatch  #StockMarket #Stocks #daytrading https://t.co/xZMnUEr1eG,Mon Jan 03 19:20:14 +0000 2022,0,0,https://twitter.com/StockAutomate/status/1478083803629473794,blasting off at this key level long entry alerted and then the exit on alert at join today
33,ADBE,34,StockAutomate: StockAutomate: $ADBE Great bullish setup | LONG Entry Alerted: $570.04 and then the Exit on alert at: $576.57 🤑| https://t.co/XTlhRuTa8c https://t.co/bfyQySMTAz,Mon Jan 03 09:40:04 +0000 2022,0,0,https://twitter.com/StockAutomate/status/1477937796283260932,stockautomate stockautomate great bullish setup long entry alerted and then the exit on alert at
34,ADBE,35,"Until proven otherwise, you keep riding these 🐎 until a losing year. Longest annual winning streak: $CHD $XLY $NDAQ $MA $DG $A $IGV $ADBE $MSFT $ISRG $EW $CZR $AMZN $NFLX $MCD $XLNX https://t.co/T6IvvJHIDE",Mon Jan 03 04:18:18 +0000 2022,1,6,https://twitter.com/15minofPham/status/1477856824493633537,until proven otherwise you keep riding these until a losing year longest annual winning streak
36,ADBE,37,"$ADBE risk/reward for buying this monster is very good. Note the perfect bounce off the August 2020 high support level. An very good company to own, especially at these prices. https://t.co/PI0gqngkSN",Mon Jan 03 00:43:33 +0000 2022,0,1,https://twitter.com/BenzStanzie/status/1477802780127420416,riskreward for buying this monster is very good note the perfect bounce off the august 2020 high support level an very good company to own especially at these prices
38,ADBE,39,"$ADBE - Successfully retested monthly range breakout level. Also, bouncing off trendline support. Hold 538 level and it can see new highs.   $CRWD $AMZN $CRM $FB https://t.co/oGgVmWsHz7",Mon Jan 03 01:28:36 +0000 2022,0,1,https://twitter.com/BullsCorner/status/1477814115724791808,successfully retested monthly range breakout level also bouncing off trendline support hold 538 level and it can see new highs
40,ADBE,41,"@jablamsky these guys. also first time seeing $MSFT (big daddy of $ADBE) selling off like this at the open, doesn't smell right for now https://t.co/92HsX6OH7G",Mon Jan 03 16:39:39 +0000 2022,0,3,https://twitter.com/SMalikjo/status/1478043391589957632,these guys also first time seeing big daddy of selling off like this at the open doesnt smell right for now
41,ADBE,42,$ADBE Photoshop competitors. Who are they  🤔 ? See the Share of Search graph  👇.    👉 Keen on learning more about $ADBE? Then go to: https://t.co/McrbipXj6f https://t.co/7wuKavkm2o,Mon Jan 03 23:06:07 +0000 2022,0,1,https://twitter.com/strike_market/status/1478140648679256065,photoshop competitors who are they
42,ADBE,43,What signature tool people search on Google most  🤔 ? $DOCU or $ADBE? See the graph  👇 .   👉  Learn more alternative data about $ADBE at: https://t.co/McrbipXj6f https://t.co/YBdJJGiIwD,Mon Jan 03 21:48:08 +0000 2022,0,1,https://twitter.com/strike_market/status/1478121021714616323,what signature tool people search on google most
45,ADBE,46,"Today Top Flow in S&amp;P 500 #SP500, Buy Flow &amp; Sell Flow $AMZN $AMD $XOM $NVDA $F $JPM $T $V $VZ $CMCSA $PG $NVR $AAPL $PFE $GOOG $BMY $ADBE $MU $LLY $NFLX #stock #stocks #StockMarket #Investment #investing https://t.co/Gr3YvQQ4OY https://t.co/fR8PrlRtzC",Mon Jan 03 16:47:45 +0000 2022,0,0,https://twitter.com/MITickWatcher/status/1478045428209709057,today top flow in sampp 500 buy flow amp sell flow
46,ADBE,47,SweepCast observed: $ADBE with Unusual Options Activity Alerted on $500 CALL Expiring: 01-20-2023 worth 292K🐂  See website for more https://t.co/x4BwDSN6zJ https://t.co/yc4o5dKnUq,Mon Jan 03 04:48:19 +0000 2022,0,0,https://twitter.com/SweepCastApp/status/1477864377269338112,sweepcast observed with unusual options activity alerted on call expiring 01202023 worth 292k
50,ADBE,51,"$ADBE #ADBE Update Jan 20 2023 570c is down 25% which is no biggie w 380 days til expiration. However looking at this chart, it can fall to 510 lvl in a hurry w not much support below where it is today.  This is a solid company, w strong EPS stats every quarter I’m holding🤞🏾 https://t.co/NrTRU0cN1N",Tue Jan 04 17:11:13 +0000 2022,0,1,https://twitter.com/Hannibal_1906/status/1478413723224129536,update jan 20 2023 570c is down 25 which is no biggie w 380 days til expiration however looking at this chart it can fall to 510 lvl in a hurry w not much support below where it is today
51,ADBE,52,$ADBE Blasting off at this key level | LONG Entry Alerted: $570.04 and then the Exit on alert at: $576.57 👍| https://t.co/XTlhRuTa8c https://t.co/F50pJCdnhf,Tue Jan 04 06:02:14 +0000 2022,0,0,https://twitter.com/StockAutomate/status/1478245364595630080,blasting off at this key level long entry alerted and then the exit on alert at
52,ADBE,53,StockAutomate: $ADBE Blasting off at this key level | LONG Entry Alerted: $570.04 and then the Exit on alert at: $576.57 👍| https://t.co/XTlhRuTa8c https://t.co/F50pJCdnhf,Tue Jan 04 08:40:33 +0000 2022,0,0,https://twitter.com/StockAutomate/status/1478285208847851521,stockautomate blasting off at this key level long entry alerted and then the exit on alert at
53,ADBE,54,Dude says fear and taxes for the correction…says 7-15 times sales is reasonable.  I think it’s something else 😜  $ADBE $CRM $DOCU $DDOG $SHOP $ZM $INTU $NOW $ADSK $SNOW $PAYC $CDAY https://t.co/m5hNILejMb,Tue Jan 04 16:13:24 +0000 2022,0,0,https://twitter.com/roberee/status/1478399170503483393,dude says fear and taxes for the correctionsays 715 times sales is reasonable
54,ADBE,55,$ADBE @ 554.00 (-1.84%) : Adobe downgraded to neutral at UBS on fears of lower 2022 growth rate https://t.co/vFIsZ5q5dL,Tue Jan 04 22:02:52 +0000 2022,0,0,https://twitter.com/mehabecapital/status/1478487115705028610,55400 184 adobe downgraded to neutral at ubs on fears of lower 2022 growth rate
56,ADBE,57,"Yes, always better to take TAM numbers with a grain of salt, but no denying that Adobe $ADBE is playing in some really big markets. https://t.co/CAnUE6Pbpm",Tue Jan 04 21:30:00 +0000 2022,5,56,https://twitter.com/TheMattCochrane/status/1478478846647148544,yes always better to take tam numbers with a grain of salt but no denying that adobe is playing in some really big markets
57,ADBE,58,"A darling of the #CNBC guest PM set, $ADBE is now firmly below the 200DMA !!! Good company, bu the valuation is getting smushed as rates rise, &amp; #Fed pulls out accommodation. #stocks #Growth https://t.co/3gW4wNIOYm",Tue Jan 04 17:05:13 +0000 2022,0,1,https://twitter.com/Pgrills24/status/1478412210368131076,a darling of the guest pm set is now firmly below the 200dma good company bu the valuation is getting smushed as rates rise amp pulls out accommodation
58,ADBE,59,"Rather drastic difference between #ES and #NQ right now.   Or if you'd rather, $SPY &amp; $QQQ down 1.8% vs. down 0.18%  The ETFs have the same holdings in the top 8  $BRK.B and $JPM 9 and 10 for SPY, $ADBE and $NFLX 9 and 10 for Qs.   Different weightings obviously. but interesting. https://t.co/0H3q3PURSq",Tue Jan 04 16:35:05 +0000 2022,0,3,https://twitter.com/BretKenwell/status/1478404628224126977,rather drastic difference between and right now
60,ADBE,61,$NVDA $ADBE &amp; $MRNA causing some Nasdaq bleeding. https://t.co/5iheUUd4m6,Tue Jan 04 15:40:50 +0000 2022,0,4,https://twitter.com/AndrewThrasher/status/1478390977874345984,amp causing some nasdaq bleeding
63,ADBE,64,$ADBE Photoshop web traffic: - 35.49 %/quarter    👉  Find more about $ADBE alternative data at: https://t.co/McrbipXj6f https://t.co/xe3fCY73YV,Tue Jan 04 00:19:07 +0000 2022,0,0,https://twitter.com/strike_market/status/1478159019923718148,photoshop web traffic 3549 quarter
67,ADBE,68,$ADBE in Uptrend: RSI indicator exits oversold zone. View odds for this and other indicators: https://t.co/6Vwy4AombM #Adobe https://t.co/9cusjaKYwn,Tue Jan 04 22:54:48 +0000 2022,0,0,https://twitter.com/Tickeron/status/1478500187261706241,in uptrend rsi indicator exits oversold zone view odds for this and other indicators
68,ADBE,69,"$ADBE appears in a scan that looks for a high probability naked puts on stocks that are oversold. It has good stock score; RSI is 28.9;  Strike 525.0, 28-Jan-22 has Annualized return 15.4%; Probability of profit is 75.7%.  👉 See more here https://t.co/DYh6y4AeYh https://t.co/5JShnZmxS2",Tue Jan 04 15:29:21 +0000 2022,0,0,https://twitter.com/OptionSamurai/status/1478388085666816010,appears in a scan that looks for a high probability naked puts on stocks that are oversold it has good stock score rsi is 289
69,ADBE,70,"Stock Portfolio as of January 5, 2022: NEW: - ADDED: $SQ, $PLTR, $U, $ADBE, $SE SOLD: - Total number of stocks in PF: 47 Defensive: 35% | Sensitive: 37% | Cyclical: 28% https://t.co/cBxrsrygsV",Wed Jan 05 09:53:18 +0000 2022,0,4,https://twitter.com/snugfortune/status/1478665906138005505,stock portfolio as of january 5 2022 new added sold total number of stocks in pf 47 defensive 35 sensitive 37 cyclical 28
72,ADBE,73,Up $26k on a $50k account this morning! @AjTrader7 making people RICH while teaching how to fish! $LIXT $ROKU $TSLA $ADBE $MRNA $MYNZ $EWTX $LGVN $CRM #ACTFamily https://t.co/3M55t2KWn8,Wed Jan 05 15:37:09 +0000 2022,3,5,https://twitter.com/MrMonopTrades/status/1478752438026973193,up on a account this morning making people rich while teaching how to fish
73,ADBE,74,First basket of 2022. This is a thematic basket that is close to my heart as a creative. I have used 5 out of these 6 companies in my work.  The theme centers around tools that power creatives.  The basket: $ADBE-Adobe $CRCT-Cricut $ETSY-Etsy $FVRR-Fiverr $PINS-Pinterest $U Unity https://t.co/EOR9XVgFly,Wed Jan 05 16:52:44 +0000 2022,1,6,https://twitter.com/CbKinvestment/status/1478771458134454273,first basket of 2022 this is a thematic basket that is close to my heart as a creative i have used 5 out of these 6 companies in my work
75,ADBE,76,What is the #Metaverse? Metaverse explained in 20-seconds.   #stocks #NFTCommmunity #Crypto #investing #web3 #DeFi #METAFLUENCE $U $META $FB $MVRS $MTTR $RBLX $NKE $RBLX $ETH $MANA $ENJ $SAND #APENFT $BTC #Bitcoin $TTWO $GOOG $AAPL $ADBE $ADSK $NET https://t.co/hoTIX70glj,Wed Jan 05 15:49:36 +0000 2022,0,1,https://twitter.com/FIREDUpWealth/status/1478755568139517955,what is the metaverse explained in 20seconds
76,ADBE,77,"Hope everyone survived that selloff... I'll post some updates on my previous tweets ( $ADBE, $SHOP, $ETSY, etc) since there have been slight changes to support areas, but it's time to walk away from the computer... https://t.co/BRKFWFkQMQ",Wed Jan 05 21:06:47 +0000 2022,0,3,https://twitter.com/NicksAnalysis/status/1478835390538817536,hope everyone survived that selloff ill post some updates on my previous tweets etc since there have been slight changes to support areas but its time to walk away from the computer
77,ADBE,78,$ADBE $INTU $CRM Terranova calls these value tech 😆 … disagrees with the market’s pivot away from these high fliers https://t.co/hwc0xTQlpj,Wed Jan 05 17:07:04 +0000 2022,0,0,https://twitter.com/roberee/status/1478775064153759744,terranova calls these value tech disagrees with the markets pivot away from these high fliers
80,ADBE,81,$BYND $BNTX $CAKE $ROKU $ADBE options gappers and crappers https://t.co/ossyisY3B3,Wed Jan 05 14:12:51 +0000 2022,0,1,https://twitter.com/RichHamiltonJr/status/1478731220401930243,options gappers and crappers
81,ADBE,82,"Adobe $ADBE. Started a position at $525 on the dip. The channel isn't confirmed, but I love the gaps above and it bounced off the same angle as that resistance line. Easy out if it breaks down below $518. RSI 30, MACD may be bottoming. 🎯1=200 EMA. https://t.co/ORA1szrWba",Wed Jan 05 14:50:25 +0000 2022,0,6,https://twitter.com/NicksAnalysis/status/1478740674052829186,adobe started a position at on the dip the channel isnt confirmed but i love the gaps above and it bounced off the same angle as that resistance line easy out if it breaks down below rsi 30 macd may be bottoming 1200 ema
82,ADBE,83,$ADBE Catching a bid on the lower trend line after breaking below the small flag https://t.co/8CJ2lqjdBL,Wed Jan 05 04:42:37 +0000 2022,0,2,https://twitter.com/KROptions/status/1478587718359830528,catching a bid on the lower trend line after breaking below the small flag
83,ADBE,84,12 of today’s biggest losers crashing below support  $CRM $NFLX $TECH $CTAS $SBAC $ARE $ADBE $AMT $CDAY $ENPH $EIX $CCI  Which EXAMPLES will hold below support?  Follow stocks on  #thinkorswim charts with this link: https://t.co/LEXRcnqi8R #StocksToWatch Not a recommendation https://t.co/MKB9HibeXW,Wed Jan 05 18:07:20 +0000 2022,0,9,https://twitter.com/KenRose_CMT/status/1478790231784632320,12 of todays biggest losers crashing below support
84,ADBE,85,"Adobe $ADBE Digital Media President on how Creative Cloud Express is going to be a powerful engagement driver/onboarding tool:  1) Frictionless. Free to start, no downloads, no learning curve. 2) Great content. 3) AI-powered quick actions 4) 1-click publishing to social media https://t.co/xre00vGkO3",Wed Jan 05 13:35:00 +0000 2022,2,23,https://twitter.com/TheMattCochrane/status/1478721696190189568,adobe digital media president on how creative cloud express is going to be a powerful engagement driveronboarding tool
85,ADBE,86,$ADBE and $CRM looking horrible... Guess they can't go up and to the right forever 🤷‍♂️ https://t.co/ZTW0srLcnK,Wed Jan 05 16:13:42 +0000 2022,0,0,https://twitter.com/F4DE2BL4CK/status/1478761636609417218,and looking horrible guess they cant go up and to the right forever
86,ADBE,87,"""STOCK WATCH-LIST"" 01/05 AT 4:30am PST  STOCKS THAT HAVE MY ATTENTION THIS MORNING AS I READ #ANALYST CALLS #EARNING REPORTS SCANS &amp; MANY OTHER SOURCE FOR #ACT  $LGVN $MYNZ $BYND $W $ARE $ROKU $CRM $BNTX $MRNA $NVDA $ADBE $TSLA  NOTE: THIS ISN'T THE FINAL LIST BUT JUST PREVIEW https://t.co/uY1ljRbJmV",Wed Jan 05 12:50:52 +0000 2022,1,19,https://twitter.com/AjTrader7/status/1478710592135319555,stock watchlist 0105 at 430am pst
87,ADBE,88,This is what nightmares are made of. Hold on to your hats if this plays out! $ADBE https://t.co/OXGICeYrjZ,Thu Jan 06 12:54:32 +0000 2022,1,0,https://twitter.com/BarnHogs/status/1479073900864708610,this is what nightmares are made of hold on to your hats if this plays out
89,ADBE,90,Stocks with Low RSI(&lt; 30 - OverSold) in S&amp;P &amp; NasDaq Indices on daily timeframe Jan 05 2022  $ENPH $GNRC $PAYC $CRM $ETSY $ADBE $WDAY $LULU $CRWD $TWTR $CDAY $KMX $NFLX $SEDG  Doesn't mean that they are buy signals - WAIT for the trend to break https://t.co/GUlXr7W3cB,Thu Jan 06 00:33:08 +0000 2022,0,2,https://twitter.com/Traderssrt/status/1478887321516793859,stocks with low rsilt 30 oversold in sampp amp nasdaq indices on daily timeframe jan 05 2022
90,ADBE,91,Shorted $AAPL $ADBE spikes once they started to look weak. https://t.co/LcLIFV9BMH,Thu Jan 06 17:00:09 +0000 2022,0,6,https://twitter.com/AdlinLing/status/1479135711777464320,shorted spikes once they started to look weak
93,ADBE,94,$ADBE is also at a big support level. https://t.co/adIjvu5iLd,Thu Jan 06 18:23:22 +0000 2022,0,0,https://twitter.com/TheGridTrades/status/1479156656512458753,is also at a big support level
95,ADBE,96,Alert regarding ADBE [16] : Last low daily 508.2 &lt;= SMA_200_weekly ; price=508.22 Sent : 20220106 15:30 https://t.co/8eauYg8BoW,Thu Jan 06 14:30:46 +0000 2022,0,0,https://twitter.com/ThibLec/status/1479098116783501317,alert regarding adbe 16 last low daily 5082 lt sma_200_weekly price50822 sent 20220106 1530
96,ADBE,97,"$ADBE - looks like testing the long time support at 105 level beaten down too much. Understand that rising interest rates are damping to high multiple stocks, but the cash flow and biz is solid and will continue to do so in the world of Metaverse and digital Took a small position https://t.co/tAhn21gXPl",Thu Jan 06 19:40:37 +0000 2022,0,1,https://twitter.com/JackTrader7/status/1479176094888566785,looks like testing the long time support at 105 level beaten down too much understand that rising interest rates are damping to high multiple stocks but the cash flow and biz is solid and will continue to do so in the world of metaverse and digital took a small position
97,ADBE,98,Weekly Watchlist 📈 All Charts posted in discord  $IQ $CRM $QCOM $SQ $MA $SPY $QQQ $CMCSA $PSTH $ADBE $GOOGL $HD $PYPL $DRYS $ITM https://t.co/8tCE4yolGS,Thu Jan 06 13:33:00 +0000 2022,0,1,https://twitter.com/vanhiha/status/1479083580433190913,weekly watchlist all charts posted in discord
100,ADBE,101,"Adobe $ADBE. Redrawn. It stayed near $515 despite the Nasdaq selloff into close. Looking at the full chart, it makes sense now. The angle of the support line I redrew is the same angle as resistance. Added more shares at $515 (avg $520). Out below $510. More $NDX selling, $500... https://t.co/8I8H6pzYUH",Thu Jan 06 00:32:32 +0000 2022,0,2,https://twitter.com/NicksAnalysis/status/1478887169813102597,adobe redrawn it stayed near despite the nasdaq selloff into close looking at the full chart it makes sense now the angle of the support line i redrew is the same angle as resistance added more shares at avg out below more selling
102,ADBE,103,Two days in a row Cramer shows up on Halftime.  I think he knows it’s important his beloved tech names put up some defense now or it’s goin* to get ugly.  $AAPL $AMZN $FB $GOOG $MSFT $NFLX $AMD $NVDA $CRM $PANW $ADBE $INTU https://t.co/NyNOCAPooL,Thu Jan 06 17:58:07 +0000 2022,0,0,https://twitter.com/roberee/status/1479150301907234822,two days in a row cramer shows up on halftime
103,ADBE,104,Nobody wants to own Software names anymore.  $IGV down 18% from its ATHs in November.  $MSFT $CRM $ADBE $INTU $ORCL $NOW $ADSK $SNPS $PANW $ATVI $CDNS $WDAY $SNAP $FTNT $DDOG https://t.co/BW4DOtgems,Thu Jan 06 14:21:51 +0000 2022,0,2,https://twitter.com/howtoswingtrade/status/1479095874072375301,nobody wants to own software names anymore
106,ADBE,107,"Did a lot of restructuring this week.   Sold $TCEHY(100%), Meituan(100%), $TDOC(20%)  Bought $CSU.TO(100%), $SE(50%), $FVRR(50), $ADBE(50%), $TXN(25%) https://t.co/yLAKjohFUU",Fri Jan 07 22:10:16 +0000 2022,1,15,https://twitter.com/stonkmetal/status/1479576142885658626,did a lot of restructuring this week
107,ADBE,108,Buying $ADBE if it hits 500. https://t.co/DGS68kXxIU,Fri Jan 07 15:43:31 +0000 2022,0,0,https://twitter.com/_erumamaadu/status/1479478814447226882,buying if it hits 500
108,ADBE,109,Alert regarding ADBE [16] : Last low daily 504.0 &lt;= SMA_200_weekly ; price=508.22 Sent : 20220107 17:15 https://t.co/FJWDeRqMQN,Fri Jan 07 16:15:22 +0000 2022,0,0,https://twitter.com/ThibLec/status/1479486828902236168,alert regarding adbe 16 last low daily 5040 lt sma_200_weekly price50822 sent 20220107 1715
111,ADBE,112,Adobe $ADBE settled -0.7% to $510.70. Should floor within psy'500/480s. yours.. bullish subscription business models. @sacc22245607 https://t.co/J2SP8nesNS,Fri Jan 07 22:39:55 +0000 2022,1,4,https://twitter.com/Trading_Sunset/status/1479583604296585216,adobe settled 07 to should floor within psy500480s yours bullish subscription business models
112,ADBE,113,"Exited $ADBE at $518 with a small loss. It's likely going to $500. I missed this by not looking at the ""bigger picture"" since the 2020 crash. A very large channel that will be supported with a $500 bounce. I'll stay disciplined and only reenter if it moves past my initial entry. https://t.co/5nwUC7wfUR",Fri Jan 07 15:37:48 +0000 2022,0,3,https://twitter.com/NicksAnalysis/status/1479477374945308676,exited at with a small loss its likely going to i missed this by not looking at the bigger picture since the 2020 crash a very large channel that will be supported with a bounce ill stay disciplined and only reenter if it moves past my initial entry
115,ADBE,116,"Will $ADBE be a big winner in the metaverse?   Adobe posted a disappointing Q4 and outlook several weeks ago + Down 25% from its Nov. 25 high  But the unlimited ""what if"" of the metaverse as it evolves could shine a big light on what artists are capable of doing behind their lens https://t.co/QmmjVm9KZp",Fri Jan 07 14:01:00 +0000 2022,0,1,https://twitter.com/UptrendsAI/status/1479453014746296323,will be a big winner in the metaverse
116,ADBE,117,$ADBE Max Pain is 555.00 for maturity 01/07/2022. #maxpain #options https://t.co/PwkiS17pjR https://t.co/fUZYNdn066,Fri Jan 07 22:16:53 +0000 2022,0,0,https://twitter.com/optioncharts/status/1479577810498904066,max pain is 55500 for maturity 01072022
118,ADBE,119,"$ADBE's Aroon indicator drops into Downtrend on December 31, 2021. View odds for this and other indicators: https://t.co/mc90coUuoO #Adobe https://t.co/D4EVa6bTWi",Fri Jan 07 21:08:57 +0000 2022,0,0,https://twitter.com/Tickeron/status/1479560711944622082,aroon indicator drops into downtrend on december 31 2021 view odds for this and other indicators
119,ADBE,120,Top Bullish Order Flow Gainers on the @quantdata platform so far today:   $TSLA $AAPL $SHOP $GOOG $AMD $ADBE $NVDA $MSFT $LCID $GOOGL  Thanks for visiting my page 💻 https://t.co/weiOdb5B7L,Fri Jan 07 20:00:05 +0000 2022,0,0,https://twitter.com/AndrewHiesinger/status/1479543380317437953,top bullish order flow gainers on the platform so far today
122,ADBE,123,$ADBE If the selling would stop this could have a nice bounce. The daily looks promising. https://t.co/yLVtEVK6uj,Sat Jan 08 16:03:16 +0000 2022,0,1,https://twitter.com/JDBowman77/status/1479846171862568961,if the selling would stop this could have a nice bounce the daily looks promising
123,ADBE,124,Premium Letter 305 will be out soon  'Toxic Market for Growth Stocks'  Reviewing stocks: $TSLA $NVDA $ADBE $QCOM $MU $ARKK $TDOC $HIMX $CELH &amp; New Leaders  - Focusing on Quality &amp; No Overhead Resistance - 'Adapting to New Leadership'  ➜ https://t.co/Tv2BtYcz5H https://t.co/9DvVeLiwkb,Sat Jan 08 21:59:42 +0000 2022,0,17,https://twitter.com/Tischendorf/status/1479935871197618183,premium letter 305 will be out soon
